iter	err_train	err_test
1	0.11919999999999997	0.12480000000000002
2	0.11919999999999997	0.12480000000000002
3	0.11919999999999997	0.12480000000000002
4	0.11919999999999997	0.12480000000000002
5	0.11240000000000006	0.11739999999999995
6	0.11240000000000006	0.11739999999999995
8	0.11499999999999999	0.119
10	0.11280000000000001	0.11619999999999997
15	0.10799999999999998	0.11019999999999996
20	0.10560000000000003	0.10860000000000003
30	0.10599999999999998	0.10560000000000003
50	0.10360000000000003	0.10619999999999996
70	0.10319999999999996	0.10699999999999998
90	0.1028	0.10699999999999998
120	0.1028	0.1068
150	0.1028	0.10740000000000005
200	0.10260000000000002	0.1068
250	0.1028	0.10699999999999998
300	0.1028	0.10719999999999996
350	0.1028	0.10740000000000005
400	0.1028	0.10719999999999996
450	0.1028	0.10719999999999996
500	0.1028	0.10719999999999996
