iter	err_train	err_test
1	0.14539999999999997	0.1594
2	0.26280000000000003	0.2854
3	0.12080000000000002	0.13980000000000004
4	0.15780000000000005	0.17500000000000004
5	0.11080000000000001	0.124
6	0.1382	0.14959999999999996
8	0.11280000000000001	0.12880000000000003
10	0.11460000000000004	0.12960000000000005
15	0.10440000000000005	0.11839999999999995
20	0.10740000000000005	0.11599999999999999
30	0.10499999999999998	0.11680000000000001
50	0.10240000000000005	0.11639999999999995
70	0.1028	0.11760000000000004
90	0.09919999999999995	0.11339999999999995
120	0.1028	0.11619999999999997
150	0.10119999999999996	0.11399999999999999
200	0.10140000000000005	0.11180000000000001
250	0.10119999999999996	0.11480000000000001
300	0.10099999999999998	0.11119999999999997
350	0.09919999999999995	0.11360000000000003
400	0.1028	0.11360000000000003
450	0.10019999999999996	0.11299999999999999
500	0.10160000000000002	0.11240000000000006
